Title,URL,Time Published,Authors,Summary,Banner Image,Source,Category Within Source,Source Domain,Topics,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
StockNews.com Downgrades Chubb  ( NYSE:CB )  Rating to Hold,https://beststocks.com/stocknews-com-downgrades-chubb-nysecb-rating-to/,20230531T221907,['Elaine Mendonça'],"On Wednesday, StockNews.com downgraded Chubb ( NYSE:CB ) from a ""buy"" rating to a ""hold"" rating. This research report is of great interest to investors and clients who have been tracking the financial services provider's progress in terms of earnings per share, return on equity, net margin, and ...",https://beststocks.com/wp-content/uploads/2023/02/financial-regulation-news-750x375.jpg,Stocknews.com,n/a,beststocks.com,"[{'topic': 'Earnings', 'relevance_score': '0.928769'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",0.0551,Neutral,"[{'ticker': 'JEF', 'relevance_score': '0.066414', 'ticker_sentiment_score': '0.006025', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.066414', 'ticker_sentiment_score': '0.006025', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CB', 'relevance_score': '0.197413', 'ticker_sentiment_score': '-0.030395', 'ticker_sentiment_label': 'Neutral'}]"
JPMorgan Chase CEO Jamie Dimon says status of banking system is 'nothing like '08',https://www.foxbusiness.com/economy/jpmorgan-chase-ceo-jamie-dimon-says-status-banking-system-nothing-like-2008,20230531T220854,[],"Jamie Dimon on Wednesday said the current status of the U.S. banking system was ""nothing like '08."" The JPMorgan Chase CEO told Bloomberg Television ""there's nothing like that leverage in the system"" that was present during the 2008 financial crisis.",https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/a02ef4b1-7a86-4370-91c6-34b9673b68f0/85f7f909-3731-4826-9ffd-37abe52997fb/1280x720/match/image.jpg,Fox Business News,n/a,www.foxbusiness.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.014319,Neutral,"[{'ticker': 'SBNY', 'relevance_score': '0.074001', 'ticker_sentiment_score': '-0.083092', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FRC', 'relevance_score': '0.147366', 'ticker_sentiment_score': '-0.06189', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.484408', 'ticker_sentiment_score': '-0.102734', 'ticker_sentiment_label': 'Neutral'}]"
JPMorgan's Dimon Denied Having Any Contact With Jeffrey Epstein,https://www.nytimes.com/2023/05/31/business/jamie-dimon-jeffrey-epstein.html,20230531T204038,[],"JPMorgan is being sued over its dealings with Mr. Epstein. In a deposition, Jamie Dimon, the bank's chief executive, said he had barely heard of the disgraced financier.",https://static01.nyt.com/images/2023/05/31/business/00-epstein-hfo/00-epstein-hfo-articleLarge.jpg?quality=75&auto=webp&disable=upscale,New York Times,Business,www.nytimes.com,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",-0.135163,Neutral,"[{'ticker': 'NYT', 'relevance_score': '0.060848', 'ticker_sentiment_score': '-0.101099', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.121343', 'ticker_sentiment_score': '-0.172276', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Bank Stocks Tumble As FDIC Warns Of 'Downside Risks',https://www.investors.com/news/bank-stocks-tumble-as-fdic-report-warns-of-downside-risks-full-fallout-from-march-panic-unclearl-unknown/,20230531T202100,"[""Investor's Business Daily"", 'HARRISON MILLER']","The Federal Deposit Insurance Corp. quarterly banking profile showed some signs of stability following the March panic. But the regulator reported there's still plenty of risks ahead for the sector, and the full impact from the string of bank failures is still unknown.",https://www.investors.com/wp-content/uploads/2021/04/Stock-banking-02-adobe.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.998962'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",-0.10418,Neutral,"[{'ticker': 'PACW', 'relevance_score': '0.196877', 'ticker_sentiment_score': '-0.331648', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'WFC', 'relevance_score': '0.132004', 'ticker_sentiment_score': '-0.213994', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CMA', 'relevance_score': '0.132004', 'ticker_sentiment_score': '-0.371156', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'JPM', 'relevance_score': '0.132004', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MS', 'relevance_score': '0.06623', 'ticker_sentiment_score': '0.010148', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'V', 'relevance_score': '0.132004', 'ticker_sentiment_score': '-0.148103', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.06623', 'ticker_sentiment_score': '-0.12526', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SBNY', 'relevance_score': '0.06623', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KEY', 'relevance_score': '0.132004', 'ticker_sentiment_score': '-0.371156', 'ticker_sentiment_label': 'Bearish'}]"
JPMorgan Chase CEO Jamie Dimon hints at future in politics | Business,https://edition.cnn.com/2023/05/31/economy/jamie-dimon-politics/index.html,20230531T173000,['Matt Egan'],JPMorgan Chase CEO Jamie Dimon hints at future in politics CNN International ...,"https://media.cnn.com/api/v1/images/stellar/prod/230531131932-jamie-dimon-bloomberg-interview-0531-restricted.jpg?c=16x9&q=w_800,c_fill",CNN,Economy,edition.cnn.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.101476,Neutral,"[{'ticker': 'BFC', 'relevance_score': '0.062761', 'ticker_sentiment_score': '-0.2926', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'JPM', 'relevance_score': '0.363388', 'ticker_sentiment_score': '-0.002708', 'ticker_sentiment_label': 'Neutral'}]"
"From youth joblessness to C919 and durian, 9 things from China's economy in May",https://www.scmp.com/economy/china-economy/article/3222411/c919-durian-and-record-high-youth-unemployment-9-things-you-might-have-missed-chinas-economy-may,20230531T160008,['Andrew Mullen'],"Unemployment among China's youth rose above 20 per cent for the first time, while Hainan is readying for its first durian harvest this year and the C919 completed its first commercial flight in May.",,South China Morning Post,Economy,www.scmp.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.838487'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",-0.045729,Neutral,"[{'ticker': 'JPM', 'relevance_score': '0.02866', 'ticker_sentiment_score': '-0.032068', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CEAYY', 'relevance_score': '0.02866', 'ticker_sentiment_score': '0.038349', 'ticker_sentiment_label': 'Neutral'}]"
Jamie Dimon says he never discussed Jeffrey Epstein's accounts at JPMorgan; Jes Staley says Dimon Did,https://www.foxbusiness.com/business-leaders/jamie-dimon-says-never-discussed-jeffrey-epsteins-accounts-jpmorgan-jes-staley-says-dimon-did,20230531T145057,[],Jamie Dimon says he never discussed Jeffrey Epstein's accounts at JPMorgan. Jes Staley says Dimon Did Fox Business ...,https://static.foxbusiness.com/foxbusiness.com/content/uploads/2023/01/JAMIE-DIMON-JPMORGAN-GETTY.jpg,Fox Business News,n/a,www.foxbusiness.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",-0.285468,Somewhat-Bearish,"[{'ticker': 'JPM', 'relevance_score': '0.594257', 'ticker_sentiment_score': '-0.400234', 'ticker_sentiment_label': 'Bearish'}]"
Looking At JPMorgan Chase's Recent Unusual Options Activity - JPMorgan Chase  ( NYSE:JPM ) ,https://www.benzinga.com/markets/options/23/05/32649253/looking-at-jpmorgan-chases-recent-unusual-options-activity,20230531T144631,['Benzinga Insights'],"Someone with a lot of money to spend has taken a bullish stance on JPMorgan Chase JPM. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",0.197636,Somewhat-Bullish,"[{'ticker': 'JPM', 'relevance_score': '0.879764', 'ticker_sentiment_score': '0.396995', 'ticker_sentiment_label': 'Bullish'}]"
JPM: Is JPMorgan Chase & Co.  ( JPM )  a Buy or Hold?,https://stocknews.com/news/jpm-kb-bbar-bbva-is-jpmorgan-chase-co-jpm-a-buy-or-hold/,20230531T141227,[],"The banking sector has been under tremendous stress since March 2023 due to the failure of three regional banks. Despite assurances by the Federal regulators and top executives of large financial institutions, depositors and investors remain jittery about the banking system's stability.",https://stocknews.com/wp-content/uploads/2019/05/stock-photo-warsaw-poland-april-sun-is-reflected-in-j-p-morgan-headquarters-glass-facade-1064511650.jpg,Stocknews.com,n/a,stocknews.com,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998962'}]",0.210859,Somewhat-Bullish,"[{'ticker': 'BBVA', 'relevance_score': '0.128363', 'ticker_sentiment_score': '-0.074521', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BBAR', 'relevance_score': '0.085782', 'ticker_sentiment_score': '-0.065656', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FRC', 'relevance_score': '0.085782', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.667694', 'ticker_sentiment_score': '0.293418', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'KB', 'relevance_score': '0.085782', 'ticker_sentiment_score': '-0.065656', 'ticker_sentiment_label': 'Neutral'}]"
OPEC+ Unlikely To Change Policy As Oil Prices Drop,https://www.investors.com/news/opec-meeting-no-crude-production-change-seen-even-as-oil-prices-fall/,20230531T140100,"[""Investor's Business Daily"", 'KIT NORTON']",OPEC+ Meeting: No Crude Production Change Seen Even As Oil ... Investor's Business Daily ...,https://www.investors.com/wp-content/uploads/2021/10/Stock-oilderrick-02-adobe.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",-0.155081,Somewhat-Bearish,"[{'ticker': 'OXY', 'relevance_score': '0.180685', 'ticker_sentiment_score': '0.075564', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HAL', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.00705', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.054362', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CVX', 'relevance_score': '0.352223', 'ticker_sentiment_score': '0.267668', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FANG', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.08213', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COP', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.08213', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.180685', 'ticker_sentiment_score': '0.115301', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BKR', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.00705', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SLB', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.00705', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.239305', 'ticker_sentiment_score': '-0.219266', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'DVN', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.08213', 'ticker_sentiment_label': 'Neutral'}]"
